ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,author_id,final_first_name,final_last_name,rolling_publication_count
JEL E,1952,1932,1951,10,AFZ018969,Arnold,Zellner,1
JEL E,1953,1933,1952,1,AFZ011409,Lloyd,Metzler,3
JEL E,1953,1933,1952,1,AFZ013094,Don,Patinkin,3
JEL E,1953,1933,1952,5,AFZ011409,Lloyd,Metzler,3
JEL E,1953,1933,1952,5,AFZ013094,Don,Patinkin,3
JEL E,1953,1933,1952,5,AFZ002203,O,Brownlee,2
JEL E,1953,1933,1952,5,AFZ002252,J,Buchanan,2
JEL E,1953,1933,1952,5,AFZ003050,John,Chipman,2
JEL E,1953,1933,1952,5,AFZ008179,Homer,Jones,2
JEL E,1953,1933,1952,5,AFZ009786,Wassily,Leontief,2
JEL E,1953,1933,1952,5,AFZ010467,Friedrich,Lutz,2
JEL E,1953,1933,1952,5,AFZ010469,Vera,Lutz,2
JEL E,1953,1933,1952,5,AFZ011489,Raymond,Mikesell,2
JEL E,1953,1933,1952,5,AFZ014042,Albert,Rees,2
JEL E,1953,1933,1952,5,AFZ016842,Lorie,Tarshis,2
JEL E,1953,1933,1952,10,AFZ011409,Lloyd,Metzler,3
JEL E,1953,1933,1952,10,AFZ013094,Don,Patinkin,3
JEL E,1953,1933,1952,10,AFZ002203,O,Brownlee,2
JEL E,1953,1933,1952,10,AFZ002252,J,Buchanan,2
JEL E,1953,1933,1952,10,AFZ003050,John,Chipman,2
JEL E,1953,1933,1952,10,AFZ008179,Homer,Jones,2
JEL E,1953,1933,1952,10,AFZ009786,Wassily,Leontief,2
JEL E,1953,1933,1952,10,AFZ010467,Friedrich,Lutz,2
JEL E,1953,1933,1952,10,AFZ010469,Vera,Lutz,2
JEL E,1953,1933,1952,10,AFZ011489,Raymond,Mikesell,2
JEL E,1953,1933,1952,10,AFZ014042,Albert,Rees,2
JEL E,1953,1933,1952,10,AFZ016842,Lorie,Tarshis,2
JEL E,1954,1934,1953,1,AFZ006721,Alvin,Hansen,3
JEL E,1954,1934,1953,1,AFZ008812,L,Klein,3
JEL E,1954,1934,1953,1,AFZ011409,Lloyd,Metzler,3
JEL E,1954,1934,1953,1,AFZ013094,Don,Patinkin,3
JEL E,1954,1934,1953,1,AFZ016842,Lorie,Tarshis,3
JEL E,1954,1934,1953,1,AFZ017962,Clark,Warburton,3
JEL E,1954,1934,1953,5,AFZ006721,Alvin,Hansen,3
JEL E,1954,1934,1953,5,AFZ008812,L,Klein,3
JEL E,1954,1934,1953,5,AFZ011409,Lloyd,Metzler,3
JEL E,1954,1934,1953,5,AFZ013094,Don,Patinkin,3
JEL E,1954,1934,1953,5,AFZ016842,Lorie,Tarshis,3
JEL E,1954,1934,1953,5,AFZ017962,Clark,Warburton,3
JEL E,1954,1934,1953,5,AFZ001147,William,Baumol,2
JEL E,1954,1934,1953,5,AFZ001927,Kenneth,Boulding,2
JEL E,1954,1934,1953,5,AFZ002203,O,Brownlee,2
JEL E,1954,1934,1953,5,AFZ002252,J,Buchanan,2
JEL E,1954,1934,1953,5,AFZ003050,John,Chipman,2
JEL E,1954,1934,1953,5,AFZ003954,J,Derksen,2
JEL E,1954,1934,1953,5,AFZ004480,C,Efroymson,2
JEL E,1954,1934,1953,5,AFZ006510,John,Gurley,2
JEL E,1954,1934,1953,5,AFZ008179,Homer,Jones,2
JEL E,1954,1934,1953,5,AFZ009786,Wassily,Leontief,2
JEL E,1954,1934,1953,5,AFZ010467,Friedrich,Lutz,2
JEL E,1954,1934,1953,5,AFZ010469,Vera,Lutz,2
JEL E,1954,1934,1953,5,AFZ011177,Roland,McKean,2
JEL E,1954,1934,1953,5,AFZ011489,Raymond,Mikesell,2
JEL E,1954,1934,1953,5,AFZ011819,James,Morgan,2
JEL E,1954,1934,1953,5,AFZ014042,Albert,Rees,2
JEL E,1954,1934,1953,5,AFZ016411,George,Stigler,2
JEL E,1954,1934,1953,5,AFZ016507,Robert,Strotz,2
JEL E,1954,1934,1953,5,AFZ017100,Jan,Tinbergen,2
JEL E,1954,1934,1953,5,AFZ017126,James,Tobin,2
JEL E,1954,1934,1953,10,AFZ006721,Alvin,Hansen,3
JEL E,1954,1934,1953,10,AFZ008812,L,Klein,3
JEL E,1954,1934,1953,10,AFZ011409,Lloyd,Metzler,3
JEL E,1954,1934,1953,10,AFZ013094,Don,Patinkin,3
JEL E,1954,1934,1953,10,AFZ016842,Lorie,Tarshis,3
JEL E,1954,1934,1953,10,AFZ017962,Clark,Warburton,3
JEL E,1954,1934,1953,10,AFZ001147,William,Baumol,2
JEL E,1954,1934,1953,10,AFZ001927,Kenneth,Boulding,2
JEL E,1954,1934,1953,10,AFZ002203,O,Brownlee,2
JEL E,1954,1934,1953,10,AFZ002252,J,Buchanan,2
JEL E,1954,1934,1953,10,AFZ003050,John,Chipman,2
JEL E,1954,1934,1953,10,AFZ003954,J,Derksen,2
JEL E,1954,1934,1953,10,AFZ004480,C,Efroymson,2
JEL E,1954,1934,1953,10,AFZ006510,John,Gurley,2
JEL E,1954,1934,1953,10,AFZ008179,Homer,Jones,2
JEL E,1954,1934,1953,10,AFZ009786,Wassily,Leontief,2
JEL E,1954,1934,1953,10,AFZ010467,Friedrich,Lutz,2
JEL E,1954,1934,1953,10,AFZ010469,Vera,Lutz,2
JEL E,1954,1934,1953,10,AFZ011177,Roland,McKean,2
JEL E,1954,1934,1953,10,AFZ011489,Raymond,Mikesell,2
JEL E,1954,1934,1953,10,AFZ011819,James,Morgan,2
JEL E,1954,1934,1953,10,AFZ014042,Albert,Rees,2
JEL E,1954,1934,1953,10,AFZ016411,George,Stigler,2
JEL E,1954,1934,1953,10,AFZ016507,Robert,Strotz,2
JEL E,1954,1934,1953,10,AFZ017100,Jan,Tinbergen,2
JEL E,1954,1934,1953,10,AFZ017126,James,Tobin,2
JEL E,1955,1935,1954,1,AFZ002133,Martin,Bronfenbrenner,3
JEL E,1955,1935,1954,1,AFZ002203,O,Brownlee,3
JEL E,1955,1935,1954,1,AFZ006510,John,Gurley,3
JEL E,1955,1935,1954,1,AFZ006721,Alvin,Hansen,3
JEL E,1955,1935,1954,1,AFZ008812,L,Klein,3
JEL E,1955,1935,1954,1,AFZ011409,Lloyd,Metzler,3
JEL E,1955,1935,1954,1,AFZ013094,Don,Patinkin,3
JEL E,1955,1935,1954,1,AFZ016842,Lorie,Tarshis,3
JEL E,1955,1935,1954,1,AFZ017249,Robert,Triffin,3
JEL E,1955,1935,1954,1,AFZ017962,Clark,Warburton,3
JEL E,1955,1935,1954,5,AFZ002133,Martin,Bronfenbrenner,3
JEL E,1955,1935,1954,5,AFZ002203,O,Brownlee,3
JEL E,1955,1935,1954,5,AFZ006510,John,Gurley,3
JEL E,1955,1935,1954,5,AFZ006721,Alvin,Hansen,3
JEL E,1955,1935,1954,5,AFZ008812,L,Klein,3
JEL E,1955,1935,1954,5,AFZ011409,Lloyd,Metzler,3
JEL E,1955,1935,1954,5,AFZ013094,Don,Patinkin,3
JEL E,1955,1935,1954,5,AFZ016842,Lorie,Tarshis,3
JEL E,1955,1935,1954,5,AFZ017249,Robert,Triffin,3
JEL E,1955,1935,1954,5,AFZ017962,Clark,Warburton,3
JEL E,1955,1935,1954,10,AFZ002133,Martin,Bronfenbrenner,3
JEL E,1955,1935,1954,10,AFZ002203,O,Brownlee,3
JEL E,1955,1935,1954,10,AFZ006510,John,Gurley,3
JEL E,1955,1935,1954,10,AFZ006721,Alvin,Hansen,3
JEL E,1955,1935,1954,10,AFZ008812,L,Klein,3
JEL E,1955,1935,1954,10,AFZ011409,Lloyd,Metzler,3
JEL E,1955,1935,1954,10,AFZ013094,Don,Patinkin,3
JEL E,1955,1935,1954,10,AFZ016842,Lorie,Tarshis,3
JEL E,1955,1935,1954,10,AFZ017249,Robert,Triffin,3
JEL E,1955,1935,1954,10,AFZ017962,Clark,Warburton,3
JEL E,1955,1935,1954,10,AFZ001147,William,Baumol,2
JEL E,1955,1935,1954,10,AFZ001927,Kenneth,Boulding,2
JEL E,1955,1935,1954,10,AFZ002252,J,Buchanan,2
JEL E,1955,1935,1954,10,AFZ003050,John,Chipman,2
JEL E,1955,1935,1954,10,AFZ003853,Gerard,Debreu,2
JEL E,1955,1935,1954,10,AFZ003954,J,Derksen,2
JEL E,1955,1935,1954,10,AFZ004305,John,Due,2
JEL E,1955,1935,1954,10,AFZ004480,C,Efroymson,2
JEL E,1955,1935,1954,10,AFZ006665,D,Hamberg,2
JEL E,1955,1935,1954,10,AFZ008179,Homer,Jones,2
JEL E,1955,1935,1954,10,AFZ009786,Wassily,Leontief,2
JEL E,1955,1935,1954,10,AFZ010467,Friedrich,Lutz,2
JEL E,1955,1935,1954,10,AFZ010469,Vera,Lutz,2
JEL E,1955,1935,1954,10,AFZ011177,Roland,McKean,2
JEL E,1955,1935,1954,10,AFZ011489,Raymond,Mikesell,2
JEL E,1955,1935,1954,10,AFZ011819,James,Morgan,2
JEL E,1955,1935,1954,10,AFZ014042,Albert,Rees,2
JEL E,1955,1935,1954,10,AFZ016411,George,Stigler,2
JEL E,1955,1935,1954,10,AFZ016507,Robert,Strotz,2
JEL E,1955,1935,1954,10,AFZ017100,Jan,Tinbergen,2
JEL E,1955,1935,1954,10,AFZ017126,James,Tobin,2
JEL E,1956,1936,1955,1,AFZ002203,O,Brownlee,4
JEL E,1956,1936,1955,1,AFZ002133,Martin,Bronfenbrenner,3
