ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
JEL G,1961,1941,1960,5,76,4,6,2,8,0,0.0
JEL G,1961,1941,1960,10,76,8,76,1,8,2,0.25
JEL G,1962,1942,1961,1,83,1,1,3,11,0,0.0
JEL G,1962,1942,1961,5,83,5,8,2,11,0,0.0
JEL G,1962,1942,1961,10,83,9,83,1,11,2,0.181818
JEL G,1963,1943,1962,1,93,1,1,3,11,0,0.0
JEL G,1963,1943,1962,5,93,5,10,2,11,0,0.0
JEL G,1963,1943,1962,10,93,10,10,2,11,0,0.0
JEL G,1964,1944,1963,1,108,2,10,2,8,0,0.0
JEL G,1964,1944,1963,5,108,6,10,2,8,0,0.0
JEL G,1964,1944,1963,10,108,11,108,1,8,2,0.25
JEL G,1965,1945,1964,1,114,2,12,2,9,0,0.0
JEL G,1965,1945,1964,5,114,6,12,2,9,0,0.0
JEL G,1965,1945,1964,10,114,12,12,2,9,0,0.0
JEL G,1966,1946,1965,1,123,2,15,2,10,0,0.0
JEL G,1966,1946,1965,5,123,7,15,2,10,0,0.0
JEL G,1966,1946,1965,10,123,13,15,2,10,0,0.0
JEL G,1967,1947,1966,1,135,2,16,2,9,0,0.0
JEL G,1967,1947,1966,5,135,7,16,2,9,0,0.0
JEL G,1967,1947,1966,10,135,14,16,2,9,0,0.0
JEL G,1968,1948,1967,1,145,2,17,2,13,2,0.153846
JEL G,1968,1948,1967,5,145,8,17,2,13,2,0.153846
JEL G,1968,1948,1967,10,145,15,17,2,13,2,0.153846
JEL G,1969,1949,1968,1,160,2,2,3,13,1,0.076923
JEL G,1969,1949,1968,5,160,8,19,2,13,1,0.076923
JEL G,1969,1949,1968,10,160,16,19,2,13,1,0.076923
JEL G,1970,1950,1969,1,176,2,2,3,16,1,0.0625
JEL G,1970,1950,1969,5,176,9,21,2,16,1,0.0625
JEL G,1970,1950,1969,10,176,18,21,2,16,1,0.0625
JEL G,1971,1951,1970,1,187,2,2,3,16,0,0.0
JEL G,1971,1951,1970,5,187,10,25,2,16,0,0.0
JEL G,1971,1951,1970,10,187,19,25,2,16,0,0.0
JEL G,1972,1952,1971,1,197,2,29,2,10,0,0.0
JEL G,1972,1952,1971,5,197,10,29,2,10,0,0.0
JEL G,1972,1952,1971,10,197,20,29,2,10,0,0.0
JEL G,1973,1953,1972,1,201,3,28,2,14,0,0.0
JEL G,1973,1953,1972,5,201,11,28,2,14,0,0.0
JEL G,1973,1953,1972,10,201,21,28,2,14,0,0.0
JEL G,1974,1954,1973,1,213,3,30,2,5,0,0.0
JEL G,1974,1954,1973,5,213,11,30,2,5,0,0.0
JEL G,1974,1954,1973,10,213,22,30,2,5,0,0.0
JEL G,1975,1955,1974,1,211,3,29,2,13,0,0.0
JEL G,1975,1955,1974,5,211,11,29,2,13,0,0.0
JEL G,1975,1955,1974,10,211,22,29,2,13,0,0.0
JEL G,1976,1956,1975,1,220,3,28,2,8,0,0.0
JEL G,1976,1956,1975,5,220,11,28,2,8,0,0.0
JEL G,1976,1956,1975,10,220,22,28,2,8,0,0.0
JEL G,1977,1957,1976,1,226,3,28,2,15,1,0.066667
JEL G,1977,1957,1976,5,226,12,28,2,15,1,0.066667
JEL G,1977,1957,1976,10,226,23,28,2,15,1,0.066667
